generated_by,metric,n,llama_judge,gptoss_judge,discordant_llamaYes_gptossNo,discordant_llamaNo_gptossYes,p
Llama,fp,1000,975,678,309,12,2.585992627692376e-61
Llama,qual_gen,1000,974,992,6,24,0.0019107751373644403
Llama,pres,1000,977,969,23,15,0.25614496660352326
Llama,nounsupp,1000,998,682,316,0,2.932108037585715e-70
GPT-OSS,fp,1000,988,960,39,11,0.0001343327399405243
GPT-OSS,qual_gen,1000,874,989,8,123,2.2754430024762177e-23
GPT-OSS,pres,1000,988,996,3,11,0.057373046875
GPT-OSS,nounsupp,1000,1000,960,40,0,6.984393061522136e-10
